model,recall,precision
VGG16,0.4205128205128205,0.9647058823529412
VGG16,0.41794871794871796,0.9644970414201184
VGG16,0.41794871794871796,0.9702380952380952
VGG16,0.4153846153846154,0.9700598802395209
VGG16,0.4128205128205128,0.9698795180722891
VGG16,0.41025641025641024,0.9696969696969697
VGG16,0.4076923076923077,0.9695121951219512
VGG16,0.40512820512820513,0.9693251533742331
VGG16,0.4025641025641026,0.9691358024691358
VGG16,0.4,0.968944099378882
VGG16,0.3974358974358974,0.96875
VGG16,0.39487179487179486,0.9685534591194969
VGG16,0.3923076923076923,0.9683544303797469
VGG16,0.38974358974358975,0.9681528662420382
VGG16,0.3871794871794872,0.967948717948718
VGG16,0.38461538461538464,0.967741935483871
VGG16,0.382051282051282,0.9675324675324676
VGG16,0.37948717948717947,0.9673202614379085
VGG16,0.37948717948717947,0.9736842105263158
VGG16,0.3769230769230769,0.9735099337748344
VGG16,0.37435897435897436,0.9733333333333334
VGG16,0.3717948717948718,0.9731543624161074
VGG16,0.36923076923076925,0.972972972972973
VGG16,0.36666666666666664,0.9727891156462585
VGG16,0.3641025641025641,0.9726027397260274
VGG16,0.36153846153846153,0.9724137931034482
VGG16,0.358974358974359,0.9722222222222222
VGG16,0.3564102564102564,0.972027972027972
VGG16,0.35384615384615387,0.971830985915493
VGG16,0.35128205128205126,0.9716312056737588
VGG16,0.3487179487179487,0.9714285714285714
VGG16,0.34615384615384615,0.9712230215827338
VGG16,0.3435897435897436,0.9710144927536232
VGG16,0.34102564102564104,0.9708029197080292
VGG16,0.3384615384615385,0.9705882352941176
VGG16,0.33589743589743587,0.9703703703703703
VGG16,0.3333333333333333,0.9701492537313433
VGG16,0.33076923076923076,0.9699248120300752
VGG16,0.3282051282051282,0.9696969696969697
VGG16,0.32564102564102565,0.9694656488549618
VGG16,0.3230769230769231,0.9692307692307692
VGG16,0.32051282051282054,0.9689922480620154
VGG16,0.31794871794871793,0.96875
VGG16,0.3153846153846154,0.968503937007874
VGG16,0.3128205128205128,0.9682539682539683
VGG16,0.31025641025641026,0.968
VGG16,0.3076923076923077,0.967741935483871
VGG16,0.30512820512820515,0.967479674796748
VGG16,0.30256410256410254,0.9672131147540983
VGG16,0.30256410256410254,0.9752066115702479
VGG16,0.30256410256410254,0.9833333333333333
VGG16,0.3,0.9831932773109243
VGG16,0.29743589743589743,0.9830508474576272
VGG16,0.2948717948717949,0.9829059829059829
VGG16,0.2923076923076923,0.9827586206896551
VGG16,0.28974358974358977,0.9826086956521739
VGG16,0.28717948717948716,0.9824561403508771
VGG16,0.2846153846153846,0.9823008849557522
VGG16,0.28205128205128205,0.9821428571428571
VGG16,0.2794871794871795,0.9819819819819819
VGG16,0.27692307692307694,0.9818181818181818
VGG16,0.2743589743589744,0.981651376146789
VGG16,0.2717948717948718,0.9814814814814815
VGG16,0.2692307692307692,0.9813084112149533
VGG16,0.26666666666666666,0.9811320754716981
VGG16,0.26666666666666666,0.9904761904761905
VGG16,0.2641025641025641,0.9903846153846154
VGG16,0.26153846153846155,0.9902912621359223
VGG16,0.258974358974359,0.9901960784313726
VGG16,0.2564102564102564,0.9900990099009901
VGG16,0.25384615384615383,0.99
VGG16,0.2512820512820513,0.98989898989899
VGG16,0.24871794871794872,0.9897959183673469
VGG16,0.24358974358974358,0.9895833333333334
VGG16,0.24102564102564103,0.9894736842105263
VGG16,0.23846153846153847,0.9893617021276596
VGG16,0.2358974358974359,0.989247311827957
VGG16,0.23333333333333334,0.9891304347826086
VGG16,0.23076923076923078,0.989010989010989
VGG16,0.2282051282051282,0.9888888888888889
VGG16,0.22564102564102564,0.9887640449438202
VGG16,0.2230769230769231,0.9886363636363636
VGG16,0.2205128205128205,0.9885057471264368
VGG16,0.21794871794871795,0.9883720930232558
VGG16,0.2153846153846154,0.9882352941176471
VGG16,0.2128205128205128,0.9880952380952381
VGG16,0.21025641025641026,0.9879518072289156
VGG16,0.2076923076923077,0.9878048780487805
VGG16,0.20512820512820512,0.9876543209876543
VGG16,0.20256410256410257,0.9875
VGG16,0.2,0.9873417721518988
VGG16,0.19743589743589743,0.9871794871794872
VGG16,0.19487179487179487,0.987012987012987
VGG16,0.19230769230769232,0.9868421052631579
VGG16,0.18974358974358974,0.9866666666666667
VGG16,0.18717948717948718,0.9864864864864865
VGG16,0.18461538461538463,0.9863013698630136
VGG16,0.18205128205128204,0.9861111111111112
VGG16,0.1794871794871795,0.9859154929577465
VGG16,0.17692307692307693,0.9857142857142858
VGG16,0.17435897435897435,0.9855072463768116
VGG16,0.1717948717948718,0.9852941176470589
VGG16,0.16923076923076924,0.9850746268656716
VGG16,0.16666666666666666,0.9848484848484849
VGG16,0.1641025641025641,0.9846153846153847
VGG16,0.16153846153846155,0.984375
VGG16,0.15897435897435896,0.9841269841269841
