model,fpr,tpr
ResNet50,0.23931623931623933,0.9256410256410257
ResNet50,0.2692307692307692,0.9256410256410257
ResNet50,0.2692307692307692,0.9282051282051282
ResNet50,0.28205128205128205,0.9282051282051282
ResNet50,0.28205128205128205,0.9333333333333333
ResNet50,0.2863247863247863,0.9333333333333333
ResNet50,0.2863247863247863,0.9384615384615385
ResNet50,0.2948717948717949,0.9384615384615385
ResNet50,0.2948717948717949,0.9461538461538461
ResNet50,0.29914529914529914,0.9461538461538461
ResNet50,0.29914529914529914,0.9487179487179487
ResNet50,0.3034188034188034,0.9487179487179487
ResNet50,0.3034188034188034,0.9512820512820512
ResNet50,0.32905982905982906,0.9512820512820512
ResNet50,0.32905982905982906,0.9538461538461539
ResNet50,0.3333333333333333,0.9538461538461539
ResNet50,0.3418803418803419,0.9538461538461539
ResNet50,0.358974358974359,0.9538461538461539
ResNet50,0.358974358974359,0.9615384615384616
